"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.310515943E0,1.276786709E1,3.951400042E0,-1.938341856E0,1.350515314E1
1.315500735E0,9.476708412E0,-3.903882980E0,-7.474288464E0,1.268516033E1
1.320485526E0,5.849517345E0,-4.822869778E0,-7.919517517E0,1.096337921E1
1.325470318E0,3.012997627E0,-6.209929943E0,-2.784832716E0,7.442894454E0
1.330449068E0,-1.988384485E0,-9.440999985E0,4.680814743E0,1.072362720E1
1.335433547E0,-8.310972214E0,-1.332296753E1,8.763749123E0,1.798268672E1
1.340417974E0,-1.332845688E1,-1.547118568E1,9.836803436E0,2.266645211E1
1.345402453E0,-1.389287853E1,-1.592698860E1,1.078304672E1,2.372667563E1
1.350397506E0,-1.206078339E1,-1.702662849E1,1.109198380E1,2.363050313E1
1.355382506E0,-9.086260796E0,-1.819187737E1,1.144967842E1,2.333665943E1
1.360367453E0,-3.953190804E0,-1.827599907E1,1.265610123E1,2.257912217E1
1.365352506E0,1.531363964E0,-1.680311584E1,1.181832504E1,2.060006273E1
1.370345162E0,6.765285015E0,-1.445643902E1,9.132003784E0,1.838888805E1
1.375330526E0,1.030043221E1,-1.377726841E1,4.490285873E0,1.777848969E1
1.380315943E0,1.268916512E1,-1.363676262E1,-6.638314724E-1,1.863912225E1
1.385301360E0,1.409667492E1,-1.253881836E1,-5.636047840E0,1.969018143E1
1.390286933E0,1.223059464E1,-1.216004944E1,-9.599186897E0,1.973825313E1
1.395272297E0,1.109715557E1,-1.045422268E1,-1.066823578E1,1.860776419E1
1.400257714E0,1.133483505E1,-7.643685341E0,-7.882117271E0,1.578075359E1
1.405243026E0,1.101010323E1,-4.736488342E0,-3.475948334E0,1.247953972E1
1.410225631E0,1.046167183E1,-1.745046616E0,3.107561827E0,1.105209056E1
1.415210891E0,7.747842789E0,-4.608907700E-1,6.827086449E0,1.033685627E1
1.420196151E0,-1.166737080E0,5.969575882E0,6.623487949E0,8.992647232E0
1.425181412E0,-1.254364777E1,1.500945854E1,5.860629082E0,2.041993923E1
1.430154433E0,-1.268211937E1,9.672023773E0,1.603453040E0,1.602982399E1
1.435139120E0,-1.086834240E1,2.595285892E0,-2.015765905E0,1.135428058E1
1.440123756E0,-8.753441811E0,-2.786413193E0,-4.344834805E0,1.016191082E1
1.445108391E0,-4.916498661E0,-6.579917908E0,-5.903280258E0,1.011513700E1
1.450102610E0,7.454929352E-1,-8.833782196E0,-8.253877640E0,1.211271909E1
1.455087766E0,6.162367821E0,-8.289687157E0,-9.593898773E0,1.409739635E1
1.460072870E0,8.979925156E0,-5.974428177E0,-9.409296036E0,1.431320019E1
1.465058026E0,8.166042328E0,-2.281305313E0,-8.108026505E0,1.173152569E1
1.470040578E0,6.826362133E0,1.015687943E0,-5.970149040E0,9.125432676E0
1.475025578E0,5.170000076E0,2.539684772E0,-3.426727533E0,6.702339973E0
1.480010578E0,3.684332848E0,3.169888496E0,-1.045857191E0,4.971550953E0
1.484995578E0,3.682752609E0,4.184512615E0,-4.270442128E-1,5.590633181E0
1.489978026E0,2.960068703E0,4.233074665E0,8.358993530E-1,5.232557269E0
1.494962870E0,1.852533817E0,4.540972710E0,1.298394680E0,5.073277386E0
1.499947714E0,1.392452717E0,4.778975964E0,-1.958981752E0,5.349312604E0
1.504932610E0,6.215887547E0,-2.468696594E0,-4.469757080E0,8.044280528E0
1.509920162E0,-2.763378859E0,4.257115841E0,-3.969510317E0,6.443315153E0
1.514905214E0,-4.657638550E0,1.017885399E1,-3.774972439E0,1.181325875E1
1.519890214E0,-1.740136147E-1,7.062793732E0,-4.280551434E0,8.260536097E0
1.524875214E0,6.477775574E-1,5.811880112E0,-3.179881334E0,6.656516469E0
1.529860370E0,8.794555664E-1,5.053726673E0,-1.489020348E0,5.341420876E0
1.534845422E0,5.638222694E-1,4.324830055E0,-8.360718489E-1,4.440840764E0
1.539830422E0,3.789091110E-1,3.857950211E0,-1.455397844E0,4.140716704E0
1.544815474E0,-7.322502136E-2,3.985504627E0,-2.914545059E0,4.938034218E0
1.549791203E0,-7.229850292E-1,4.423539639E0,-3.678804398E0,5.798621567E0
1.554775735E0,-1.538459778E0,4.753386974E0,-3.237969875E0,5.953653931E0
1.559760266E0,-1.431378365E0,5.049113274E0,-2.577637196E0,5.846931023E0
1.564744849E0,5.441522598E-2,5.468737602E0,-1.850936413E0,5.773735150E0
1.569739224E0,2.083733559E0,5.320673943E0,-8.019417524E-1,5.770149679E0
1.574724276E0,2.784055710E0,5.459185600E0,1.816299558E-1,6.130796282E0
1.579709328E0,1.787140846E0,6.259045601E0,2.052443027E0,6.825104147E0
1.584694381E0,1.461478710E0,7.045694351E0,3.672549963E0,8.078697429E0
1.589679849E0,5.405259132E-1,7.965624332E0,4.284035683E0,9.060700911E0
1.594664953E0,-1.504615545E0,8.943432808E0,5.321064472E0,1.051487449E1
1.599650006E0,-4.452105045E0,9.392100334E0,5.919049740E0,1.196110103E1
1.604635058E0,-7.468410969E0,9.716773987E0,4.461925507E0,1.304230188E1
1.609618860E0,-8.294507980E0,1.076615715E1,2.884845734E0,1.389357180E1
1.614603860E0,-8.374232292E0,1.235825348E1,1.514873385E0,1.500496707E1
1.619588860E0,-8.511753082E0,1.169120979E1,-1.409627080E0,1.453001636E1
