"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.154899542E0,-2.008465081E-1,-3.630973101E-1,-5.615839958E-1
3.164909542E0,-2.696786523E-1,-2.864435017E-1,-5.750850439E-1
3.174919542E0,-3.614727557E-1,-1.447673291E-1,-5.905574560E-1
3.184930542E0,-4.586357772E-1,4.953043163E-2,-6.023229361E-1
3.194940542E0,-5.639885664E-1,2.405914664E-1,-5.995053649E-1
3.204950542E0,-6.675429940E-1,4.217061698E-1,-5.661464334E-1
3.214961542E0,-7.680893540E-1,5.686921477E-1,-5.044659972E-1
3.224971542E0,-8.542543650E-1,6.619893909E-1,-4.173560441E-1
3.234981542E0,-9.069615006E-1,6.771537066E-1,-3.074244857E-1
3.244992542E0,-9.027367234E-1,6.311600208E-1,-1.829680055E-1
3.255002542E0,-8.247769475E-1,5.367197990E-1,-5.637170747E-2
3.265012542E0,-6.697321534E-1,3.814818859E-1,5.258832872E-2
3.275023542E0,-4.592081904E-1,1.882351786E-1,1.334283203E-1
3.285033542E0,-1.967349350E-1,4.231375642E-4,1.864120662E-1
3.295044542E0,8.640302718E-2,-1.328180134E-1,2.038792074E-1
3.305054542E0,3.634615541E-1,-2.297823131E-1,1.766960025E-1
3.315064542E0,5.970508456E-1,-2.996136248E-1,1.289348751E-1
3.325075542E0,7.514104247E-1,-3.547007442E-1,8.824230731E-2
3.335085542E0,8.229519725E-1,-3.778835535E-1,5.974967405E-2
3.345095542E0,8.200254440E-1,-3.788477778E-1,5.069880188E-2
3.355106542E0,7.629616261E-1,-3.624663949E-1,5.139282346E-2
3.365116542E0,6.655793190E-1,-3.167501986E-1,4.099509865E-2
3.375126542E0,5.436699390E-1,-2.462168783E-1,4.808336869E-2
3.385137542E0,4.132137299E-1,-1.645594388E-1,7.792697847E-2
3.395147542E0,2.776372731E-1,-7.071151584E-2,1.183369905E-1
3.405158542E0,1.540195346E-1,4.263377935E-2,1.561994106E-1
3.415168542E0,4.826514423E-2,1.498047113E-1,1.756713837E-1
3.425178542E0,-2.723076567E-2,2.168627381E-1,1.751696318E-1
3.435189542E0,-8.238562942E-2,2.273774296E-1,1.584332734E-1
3.445199542E0,-1.167648286E-1,1.855942458E-1,1.506439298E-1
3.455209542E0,-1.224871650E-1,1.034615561E-1,1.451050937E-1
3.465220542E0,-7.698979229E-2,-2.766333148E-2,1.181941926E-1
3.475230542E0,5.315195769E-2,-2.200926989E-1,5.013098195E-2
3.485240542E0,2.670539618E-1,-4.663949609E-1,-5.348765850E-2
3.495251542E0,5.188677907E-1,-7.020732164E-1,-1.589373797E-1
3.505261542E0,7.678625584E-1,-8.122024536E-1,-2.376193106E-1
3.515272542E0,9.362267852E-1,-8.046709895E-1,-2.734881043E-1
3.525282542E0,1.024696112E0,-7.403601408E-1,-2.728461921E-1
3.535292542E0,1.068235636E0,-6.679823399E-1,-2.352402061E-1
3.545303542E0,1.094983220E0,-6.201434135E-1,-1.591525078E-1
3.555313542E0,1.126423955E0,-6.194310188E-1,-6.298311055E-2
3.565323542E0,1.143113017E0,-7.167574167E-1,2.951583266E-2
3.575334542E0,1.107757092E0,-8.472547531E-1,7.415600121E-2
3.585344542E0,9.792383313E-1,-9.805125594E-1,7.577811927E-2
3.595354542E0,7.660011649E-1,-1.022781968E0,6.924751680E-3
3.605365542E0,5.041115880E-1,-9.466731548E-1,-1.182750762E-1
3.615375542E0,2.119255215E-1,-8.019159436E-1,-2.649721205E-1
3.625386542E0,-8.055621386E-2,-5.765992999E-1,-3.932478130E-1
3.635396542E0,-3.216162324E-1,-2.927688658E-1,-4.819071293E-1
3.645406542E0,-5.095983148E-1,-2.353850380E-2,-5.301262140E-1
3.655417542E0,-6.074841022E-1,2.106787860E-1,-5.451765656E-1
3.665427542E0,-6.071382761E-1,3.730626106E-1,-5.307701826E-1
3.675437542E0,-5.295968652E-1,4.474750757E-1,-4.938244522E-1
3.685448542E0,-3.845680356E-1,4.267270267E-1,-4.494006634E-1
3.695458542E0,-1.911423951E-1,3.289786279E-1,-3.971108198E-1
3.705468542E0,2.384563722E-2,1.742133647E-1,-3.397154510E-1
3.715479542E0,2.470531464E-1,-2.332500368E-2,-3.248121142E-1
3.725489542E0,4.415373504E-1,-2.141481489E-1,-3.540577888E-1
3.735500542E0,5.994979143E-1,-3.794889152E-1,-4.127543867E-1
3.745510542E0,7.012401223E-1,-4.994377196E-1,-4.754695892E-1
3.755520542E0,7.472355366E-1,-5.504838228E-1,-5.216245651E-1
3.765531542E0,7.406025529E-1,-5.533448458E-1,-5.421422720E-1
3.775541542E0,6.904387474E-1,-5.121859312E-1,-5.210372210E-1
3.785551542E0,6.126183271E-1,-4.373412728E-1,-4.591471553E-1
3.795562542E0,5.085973740E-1,-3.417590857E-1,-3.643907905E-1
3.805572542E0,3.993474543E-1,-2.449369282E-1,-2.451612502E-1
3.815582542E0,2.873378098E-1,-1.597610563E-1,-1.217479706E-1
