"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.800761583E0,-1.380600095E0,1.218324065E0,1.959888339E0,2.689150879E0
1.810743583E0,-1.355845213E0,1.200891256E0,1.839238882E0,2.581328285E0
1.820725583E0,-1.360622883E0,1.139241219E0,1.671264172E0,2.437681094E0
1.830707583E0,-1.429872751E0,1.219403982E0,1.456903338E0,2.377824530E0
1.840689583E0,-1.490354776E0,1.219733834E0,1.286024570E0,2.315764924E0
1.850671583E0,-1.454837322E0,1.258330703E0,1.133868337E0,2.232846882E0
1.860653583E0,-1.356857657E0,1.396821976E0,1.002634525E0,2.190308272E0
1.870635583E0,-1.168269634E0,1.567729592E0,9.630090594E-1,2.179453248E0
1.880617583E0,-8.543084860E-1,1.592968464E0,9.526438713E-1,2.043262553E0
1.890599583E0,-4.620911181E-1,1.507177114E0,8.476287723E-1,1.789856305E0
1.900581583E0,-9.381746501E-2,1.341812611E0,5.878694654E-1,1.467941861E0
1.910563583E0,2.309315950E-1,1.015438557E0,2.289752513E-1,1.066243185E0
1.920545583E0,5.491795540E-1,5.806028843E-1,-1.647398472E-1,8.159884246E-1
1.930527583E0,8.105515242E-1,1.293510348E-1,-5.708934665E-1,9.998223910E-1
1.940509583E0,1.036732912E0,-2.964225411E-1,-9.213353992E-1,1.418287831E0
1.950491583E0,1.265357018E0,-5.910024643E-1,-1.204970598E0,1.844550470E0
1.960473583E0,1.475760818E0,-7.693604231E-1,-1.419008374E0,2.187091726E0
1.970455583E0,1.663014650E0,-8.600341082E-1,-1.575241208E0,2.446765469E0
1.980437583E0,1.819427252E0,-8.410749435E-1,-1.680962205E0,2.615980986E0
1.990419583E0,1.936231613E0,-7.299843431E-1,-1.760853767E0,2.717071216E0
2.000401583E0,2.022489309E0,-6.251564026E-1,-1.810038924E0,2.785233283E0
2.010383583E0,2.080116749E0,-5.484943390E-1,-1.841273069E0,2.831610539E0
2.020365583E0,2.105768442E0,-5.010033250E-1,-1.872464895E0,2.862060420E0
2.030347583E0,2.127430439E0,-5.040427446E-1,-1.916714549E0,2.907544329E0
2.040329583E0,2.164792538E0,-5.434470177E-1,-1.947308064E0,2.962038164E0
2.050311583E0,2.221687078E0,-6.004629135E-1,-1.969563723E0,3.029130311E0
2.060293583E0,2.272225380E0,-6.557995081E-1,-2.004453897E0,3.100147835E0
2.070275583E0,2.294122696E0,-7.095748186E-1,-2.075086594E0,3.173717022E0
2.080257583E0,2.262523651E0,-6.977499127E-1,-2.159750700E0,3.204745122E0
2.090239583E0,2.164106846E0,-6.825182438E-1,-2.234497786E0,3.184677369E0
2.100221583E0,2.035334349E0,-6.306807995E-1,-2.279011726E0,3.119974139E0
2.110203583E0,1.851575136E0,-5.748519301E-1,-2.274032593E0,2.988312142E0
2.120185583E0,1.610494852E0,-5.379964709E-1,-2.232481480E0,2.804836435E0
2.130167583E0,1.406664848E0,-4.687576890E-1,-2.164709091E0,2.623815012E0
2.140149583E0,1.291200519E0,-2.483823746E-1,-2.090174437E0,2.469356547E0
2.150131583E0,1.293641806E0,6.179280207E-2,-2.032521486E0,2.410076983E0
2.160113583E0,1.434343576E0,3.352476060E-1,-1.957914114E0,2.450134717E0
2.170095583E0,1.716350794E0,4.981726110E-1,-1.873633027E0,2.589312016E0
2.180077583E0,2.019287348E0,4.134019017E-1,-1.822895646E0,2.751612448E0
2.190059583E0,2.209442139E0,1.620096117E-1,-1.848965883E0,2.885577328E0
2.200042583E0,2.261022329E0,-1.131183729E-1,-1.959130883E0,2.993862314E0
